180,240,220,280/
Facebook/,Google,Twitter,Amazon
Shri Rajnath Singh,Shri Amit Shah,Dr Subrahmanyam Jaishankar,Smt. Nirmala Sitharaman/
Shri Rajnath Singh,Shri Ramvilas Paswan,Shri Nitin Jairam Gadkari/,Shri Amit Shah
"Shape of You" - Ed Sheeran,"Despacito"- Luis Fonsi featuring Daddy Yankee/,"Baby Shark Dance" - Pinkfong Kids' Songs & Stories,"See You Again" - Wiz Khalifa featuring Charlie Puth
DEEWAR/,Shahenshah,SHOLAY,Don
Sardar Khan,Ramadhir Singh/,Faizal Khan,Shamshad
SAMBHA,KAALIA/,THAKUR,JAI
Saroj Khan/,Protik Prakash,Tridib Ghosh,Geetha Nagabhushan
Lunch Box,Paan Singh Tomar/,Life of Pi,Haidar
Bill Gates,Ronald Wayne/,Tim Cook,Jony Ive
One Direction,Justin Bieber,Backstreet Boys,Maroon 5
Tanaji-The Unsung Warrior,Golmaal 4,Golmaal 3,Singham 2
Munna Bhaiya,Bablu Bhaiya/,Guddu Bhaiya,Kaleen BHAIYA
Adampur Afs,Ambala Afs/,Amritsar Afs,Awantipur Afs
Anurag Kashyap,Sriram Raghavan/,Vikas Bahl,Jagan Shakti
2022,2023,2024/,2025
Sadak 2 trailer,Youtube rewind 2018/,Baby-Justin Beiber,Its everyday bro - Jake Paul
Abhimanyu,Aagasthya/,Arjun,Aarav
John Michell,Katie Bouman/,Stephen Hawking,Marie Curie
